directory,candidate,stage,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_medianPct
quality-development,quality-20-0,development,46,0,0,-0.3130958462500111,-4.628738613750005,-7.350511035000007,-10.644231534495606,0,14,0,-0.3130958462500111
quality-development,quality-20-15,development,46,1,2.1739130434782608,-0.36281444249999795,-4.319217283750004,-8.691909662499997,-10.694933171273558,0,14,0,-0.7956651925000002
quality-development,quality-20-30,development,46,0,0,0,-4.379851643750005,-6.783014149999989,-9.539071667100485,0,14,0,0
quality-development,quality-60-0,development,46,2,4.3478260869565215,-0.15668677000000297,-6.282353559999981,-11.300703844999981,-11.453054479999992,0,14,1,-0.38447704250000325
quality-development,quality-60-15,development,46,1,2.1739130434782608,0,-5.184867647500008,-8.965136964999987,-9.183794280756263,0,14,0,0
quality-development,quality-60-30,development,46,0,0,0,-4.238031408749999,-6.266984700000022,-7.863122021971847,0,14,0,0
quality-development,quality-120-0,development,46,0,0,-0.7795741950000101,-6.3308656549999895,-11.628755127500012,-11.628755127500012,0,14,0,-1.501884891250005
quality-development,quality-120-15,development,46,0,0,-0.17207627500000489,-5.290800434999999,-7.33696194500002,-8.85616221949289,0,14,0,-0.9925407199999958
quality-development,quality-120-30,development,46,0,0,-0.17207627500000489,-2.6667328749999997,-8.17381224999999,-8.332519519211523,0,14,0,-1.0760677199999957
rsi-stock-development,rsi-2-10,development,46,0,0,-2.537208799249985,-8.71638289125003,-11.03379025750002,-11.03379025750002,0,14,0,-4.079578945249995
rsi-stock-development,rsi-2-30,development,46,0,0,-2.625456607500032,-8.314753851250012,-10.718106037499997,-11.180002596156902,1,14,0,-3.2949309012500203
rsi-stock-development,rsi-5-10,development,46,0,0,0.5653598702499929,-2.17818380125,-4.33395741999999,-5.148226183379212,1,14,0,0.16393428124999998
rsi-stock-development,rsi-5-30,development,46,0,0,-2.0671201794999874,-7.571253452999987,-11.661860535000002,-11.661860535000002,1,14,0,-2.0671201794999874
rsi-stock-development,rsi-14-10,development,46,0,0,0,0,0,-0.17721046389729267,0,14,0,0
