directory,stage,candidate,threshold,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
entry/seed205-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,12.262374893750005,-0.5106469906499715,-8.035123369000019,10.526315789473683,-8.035123369000019,2,3,2,66.66666666666666,10.959023497499999,4.615970299500005,3.030207000000007,0.0,-3.1199382699875877,0
entry/seed206-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,10.762013715000007,-4.189856593999983,-7.56050410350001,31.57894736842105,-8.939597709206748,0,3,0,0.0,-0.9031436199999909,-6.229032006800006,-7.56050410350001,100.0,-7.875479628500015,0
entry/seed206-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.645968920000026,-1.0174011849999909,-3.74428712499999,22.22222222222222,-7.091939484999987,0,1,0,0.0,-0.33567969999999114,-0.33567969999999114,-0.33567969999999114,100.0,-4.3263445556496745,0
entry/seed206-confirmation,confirmation,recovery-60-3-monthly,0.3,58,36,62.06896551724138,11.324827883750011,-0.14098587749997127,-8.035123368999987,10.344827586206897,-8.861861673760597,2,4,0,0.0,0.5511782137500087,-6.202941530049987,-8.035123368999987,50.0,-8.634477562624078,1
entry/seed206-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,12.262374893750005,-0.5106469906499715,-8.035123368999987,10.526315789473683,-8.035123368999987,2,3,2,66.66666666666666,10.959023497499999,4.615970299500005,3.030207000000007,0.0,-3.1199382699875877,0
entry/confirm5-validation,validation,recovery-60-3-monthly,0.3,19,12,63.1578947368421,11.143120314999976,0.0,-5.972134470000001,5.263157894736842,-7.192975442398808,0,3,1,33.33333333333333,0.0,0.0,0.0,0.0,-2.3262985911228995,0
entry/confirm5-validation,validation,recovery-60-3-monthly,0.35,9,7,77.77777777777779,11.200824067500005,4.725838845999997,4.527955459999999,0.0,-7.192975442398808,0,1,1,100.0,11.042480685000001,11.042480685000001,11.042480685000001,0.0,-2.3262985911228995,0
entry/confirm5-confirmation,confirmation,recovery-60-3-monthly,0.3,58,37,63.793103448275865,11.795472108249992,-1.4226727284999914,-8.035123368999987,12.068965517241379,-9.838368594911561,2,4,0,0.0,-1.3090267425000024,-6.410002403799991,-8.035123368999987,50.0,-8.035123368999987,1
entry/confirm5-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,11.892935232500001,-0.9480162848999868,-8.035123368999987,10.526315789473683,-8.274024678774817,2,3,2,66.66666666666666,11.437867552500002,2.2875735105000006,0.0,0.0,-5.256595316796531,0
entry/confirm3-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,11.645968920000026,0.0,-5.972134470000001,5.263157894736842,-7.168344444047237,0,3,0,0.0,0.0,0.0,0.0,0.0,-4.75779323447072,0
entry/confirm3-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.645968920000026,2.6814595969999866,2.2329971549999827,0.0,-7.168344444047237,0,1,0,0.0,7.740621479999965,7.740621479999965,7.740621479999965,0.0,-4.75779323447072,0
entry/confirm3-confirmation,confirmation,recovery-60-3-monthly,0.3,58,38,65.51724137931035,11.990536164999988,-1.2486286527499897,-8.035123368999987,13.793103448275861,-8.861861673760618,2,4,0,0.0,-1.2381840662499977,-6.367496798049989,-8.035123368999987,50.0,-8.035123368999987,1
entry/confirm3-confirmation,confirmation,recovery-60-3-monthly,0.35,38,27,71.05263157894737,12.262374893750005,-0.9480162848999868,-8.035123368999987,10.526315789473683,-8.035123368999987,2,3,2,66.66666666666666,10.959023497499999,2.1918046995,0.0,0.0,-3.1199382699875877,0
entry/confirm10-validation,validation,recovery-60-3-monthly,0.3,19,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0
entry/confirm10-validation,validation,recovery-60-3-monthly,0.35,9,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
entry/confirm10-confirmation,confirmation,recovery-60-3-monthly,0.3,58,29,50.0,9.808770972249992,-6.394297873999999,-8.035123368999987,18.96551724137931,-8.809465713999987,2,4,0,0.0,0.0,-5.62458635829999,-8.035123368999987,25.0,-8.035123368999987,1
entry/confirm10-confirmation,confirmation,recovery-60-3-monthly,0.35,38,21,55.26315789473685,10.297724247499994,-5.541439211300006,-8.035123368999987,15.789473684210526,-8.035123368999987,2,3,1,33.33333333333333,0.0,-0.3586512752000015,-0.4483140940000019,33.33333333333333,-6.749302493999987,0
