directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
followup/ema-validation,ema-12-26-0.3,recovery,5,1,20.0,-0.5250618310000177,-5.892091741499996,-7.562556997499992,60.0,-10.831237286932149,0,5,1,20.0,-0.5250618310000177,-5.892091741499996,-7.562556997499992,60.0,-10.831237286932149,0
followup/ema-validation,ema-12-26-0.3,export_recovery,2,0,0.0,-1.9557278442500103,-3.1002606548500045,-3.386393857500003,100.0,-9.438536937694264,0,2,0,0.0,-1.9557278442500103,-3.1002606548500045,-3.386393857500003,100.0,-9.438536937694264,0
followup/ema-validation,ema-20-60-0.3,all,45,4,8.88888888888889,-4.241082932500007,-10.716973568999997,-11.342500152500001,62.22222222222222,-12.274901898119117,0,13,0,0.0,-7.7335863575,-10.661265071499999,-11.1632145325,69.23076923076923,-11.517084322872284,0
followup/ema-validation,ema-20-60-0.3,export_growth,17,0,0.0,-8.732940304999993,-10.474610473499997,-11.342500152500001,88.23529411764706,-12.274901898119117,0,5,0,0.0,-8.96420616500001,-10.295397746499999,-10.338114277499999,80.0,-10.786237103328967,0
followup/ema-validation,ema-20-60-0.3,recovery,5,0,0.0,-7.808491224999992,-10.231524270499984,-11.230580247499978,60.0,-11.848936951763456,0,5,0,0.0,-7.808491224999992,-10.231524270499984,-11.230580247499978,60.0,-11.848936951763456,0
followup/ema-validation,ema-20-60-0.3,export_recovery,2,0,0.0,-8.270715764999991,-8.640495396999992,-8.732940304999993,100.0,-11.20817301343412,0,2,0,0.0,-8.270715764999991,-8.640495396999992,-8.732940304999993,100.0,-11.20817301343412,0
followup/ema-validation,ema-5-20-0.3,all,45,7,15.555555555555555,-2.533415398500005,-10.788910108499985,-11.785527759999992,51.11111111111111,-12.993816940454517,0,13,2,15.384615384615385,-2.533415398500005,-11.316297942999991,-11.785527759999992,53.84615384615385,-11.785527759999992,0
followup/ema-validation,ema-5-20-0.3,export_growth,17,1,5.88235294117647,-10.014587644999995,-10.890814617000018,-11.457550032499986,82.35294117647058,-12.993816940454517,0,5,1,20.0,-10.329143330000012,-11.175045853499997,-11.457550032499986,80.0,-11.707584133046002,0
followup/ema-validation,ema-5-20-0.3,recovery,5,0,0.0,1.0043253325000334,-9.269585865999995,-10.014587644999995,40.0,-10.96928289121889,0,5,0,0.0,1.0043253325000334,-9.269585865999995,-10.014587644999995,40.0,-10.96928289121889,0
followup/ema-validation,ema-5-20-0.3,export_recovery,2,0,0.0,-4.5051311562499805,-8.912696347249993,-10.014587644999995,50.0,-10.690506454031311,0,2,0,0.0,-4.5051311562499805,-8.912696347249993,-10.014587644999995,50.0,-10.690506454031311,0
