directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
value/validation,lowper-5-5,export_recovery,2,0,0.0,-4.552898775000003,-10.907904741000003,-12.496656232500003,50.0,-13.349992473283711,0,2,0,0.0,-4.552898775000003,-10.907904741000003,-12.496656232500003,50.0,-13.349992473283711,0
value/validation,lowper-8-20,all,45,9,20.0,-2.1830764550000104,-9.904991587799993,-18.032738590000008,64.44444444444444,-20.755528439374793,1,13,2,15.384615384615385,-4.320353832500013,-9.214517765000021,-10.387230867500008,76.92307692307693,-12.345747312384258,0
value/validation,lowper-8-20,export_growth,17,0,0.0,-6.980031479999971,-10.152306434999995,-12.713350902499986,76.47058823529412,-14.236093978819254,0,5,0,0.0,-6.522980152500002,-9.129093805000014,-9.299941725000027,80.0,-11.480872952989662,0
value/validation,lowper-8-20,recovery,5,2,40.0,1.6019104875000023,-7.6611982614999965,-12.713350902499986,40.0,-13.382828232211919,0,5,2,40.0,1.6019104875000023,-7.6611982614999965,-12.713350902499986,40.0,-13.382828232211919,0
value/validation,lowper-8-20,export_recovery,2,0,0.0,-5.555720207499991,-11.281824763499987,-12.713350902499986,50.0,-13.382828232211919,0,2,0,0.0,-5.555720207499991,-11.281824763499987,-12.713350902499986,50.0,-13.382828232211919,0
value/confirmation,lowper-3-20,all,29,9,31.03448275862069,2.1088225299999985,-10.025609055000002,-13.722149844999997,37.93103448275862,-16.60028937989846,0,9,3,33.33333333333333,2.6525657084999876,-11.081677590499996,-13.586108772499994,44.44444444444444,-16.583848065358097,0
value/confirmation,lowper-3-20,export_growth,9,2,22.22222222222222,1.5282553879999883,-10.678925065000003,-13.722149844999997,33.33333333333333,-15.809366137105519,0,5,1,20.0,0.6117829800000196,-12.200537455,-13.722149844999997,40.0,-15.809366137105519,0
value/confirmation,lowper-3-20,recovery,2,0,0.0,-1.0407474789999869,-4.932108831799985,-5.904949169999984,50.0,-16.60028937989846,0,2,0,0.0,-1.0407474789999869,-4.932108831799985,-5.904949169999984,50.0,-16.60028937989846,0
value/confirmation,lowper-3-20,export_recovery,0,,,,,,,,,0,,,,,,,,
value/confirmation,lowper-5-20,all,29,12,41.37931034482759,9.190769754000016,-7.229589004799998,-13.56626407249999,31.03448275862069,-15.72142288656815,0,9,4,44.44444444444444,9.513335191999994,-7.992951366499991,-13.56626407249999,33.33333333333333,-15.72142288656815,0
value/confirmation,lowper-5-20,export_growth,9,3,33.33333333333333,5.868267742000022,-6.998254707999993,-8.592780779999998,33.33333333333333,-12.799360748713928,0,5,2,40.0,0.3200960874999881,-7.2370278950000015,-8.592780779999998,40.0,-12.799360748713928,0
value/confirmation,lowper-5-20,recovery,2,0,0.0,-0.007623496499997273,-7.105693625699995,-8.880211157999994,50.0,-15.713545493666615,0,2,0,0.0,-0.007623496499997273,-7.105693625699995,-8.880211157999994,50.0,-15.713545493666615,0
value/confirmation,lowper-5-20,export_recovery,0,,,,,,,,,0,,,,,,,,
value/confirmation,lowper-5-5,all,29,11,37.93103448275862,4.2897268990000015,-9.235093066500003,-16.587250620499994,41.37931034482759,-16.795723061222134,0,9,3,33.33333333333333,4.138542261500011,-11.2729684461,-16.587250620499994,44.44444444444444,-16.795723061222134,0
value/confirmation,lowper-5-5,export_growth,9,3,33.33333333333333,4.2897268990000015,-7.05599765549999,-9.057766857500004,33.33333333333333,-11.02700887276824,0,5,2,40.0,1.0148874525000018,-6.0146926399999945,-6.555555354999987,40.0,-10.62922354631307,0
value/confirmation,lowper-5-5,recovery,2,0,0.0,-1.8689258889999891,-10.008976959799991,-12.043989727499993,50.0,-16.79396574705644,0,2,0,0.0,-1.8689258889999891,-10.008976959799991,-12.043989727499993,50.0,-16.79396574705644,0
value/confirmation,lowper-5-5,export_recovery,0,,,,,,,,,0,,,,,,,,
value/confirmation,lowper-8-20,all,29,11,37.93103448275862,5.917436232499984,-6.047793711799995,-14.052000382500008,24.137931034482758,-15.042577880713138,0,9,3,33.33333333333333,5.883771293000017,-6.421455665800011,-10.293629068999987,22.22222222222222,-12.832296557879763,0
value/confirmation,lowper-8-20,export_growth,9,2,22.22222222222222,5.832772352500015,-7.173129928500015,-14.052000382500008,44.44444444444444,-15.042577880713138,0,5,1,20.0,-0.44164557350002687,-9.551675749500003,-14.052000382500008,60.0,-15.042577880713138,0
value/confirmation,lowper-8-20,recovery,2,0,0.0,-1.3579643120000093,-6.237029189600006,-7.456795409000005,50.0,-13.114228809301643,0,2,0,0.0,-1.3579643120000093,-6.237029189600006,-7.456795409000005,50.0,-13.114228809301643,0
value/confirmation,lowper-8-20,export_recovery,0,,,,,,,,,0,,,,,,,,
expanded/development-verified,momentum-120-3-monthly,all,46,15,32.608695652173914,-6.0990655312500035,-12.419508709750005,-16.98014442,60.86956521739131,-17.871216555000004,1,14,5,35.714285714285715,-7.101433586,-12.370703003000001,-16.6837167375,64.28571428571429,-16.6837167375,0
expanded/development-verified,momentum-120-3-monthly,export_growth,12,6,50.0,8.69115371775,-8.60505213224999,-9.959964577500003,33.33333333333333,-13.439997983065277,1,6,2,33.33333333333333,3.5850941914999934,-7.875854863750003,-8.71084728749999,33.33333333333333,-10.55479222236494,1
expanded/development-verified,momentum-120-3-monthly,recovery,10,2,20.0,-9.687218813749997,-12.289069604999998,-16.98014442,70.0,-17.871216555000004,0,7,2,28.57142857142857,-8.832190787499993,-13.753009591500001,-16.98014442,57.14285714285714,-17.871216555000004,0
expanded/development-verified,momentum-120-3-monthly,export_recovery,2,1,50.0,9.087166136499992,6.78837863769999,6.21368176299999,0.0,-4.975624157500002,0,2,1,50.0,9.087166136499992,6.78837863769999,6.21368176299999,0.0,-4.975624157500002,0
expanded/development-verified,momentum-120-5-monthly,all,46,17,36.95652173913043,-6.483843371999992,-11.479431740999996,-16.921634146999985,58.69565217391305,-16.921634146999985,0,14,4,28.57142857142857,-7.788763514750002,-10.940924317749992,-12.318237754999995,64.28571428571429,-13.52661830293127,0
expanded/development-verified,momentum-120-5-monthly,export_growth,12,8,66.66666666666666,11.956816235000002,-9.825709489499985,-10.915199749999982,33.33333333333333,-12.208053181788747,0,6,4,66.66666666666666,11.930465703249983,-7.6163877399999915,-10.152392104999986,33.33333333333333,-12.208053181788747,0
expanded/development-verified,momentum-120-5-monthly,recovery,10,3,30.0,-7.536101708000004,-11.388325329500011,-13.30765799,60.0,-14.216212622500002,0,7,2,28.57142857142857,-7.52599623750001,-10.980681817999981,-13.30765799,57.14285714285714,-14.216212622500002,0
